species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Bank Swallow,1,27,0.1111,0.6000,0.1111,0.1875,0.6667
Chihuahuan Raven,1,27,0.2222,0.4000,0.2222,0.2857,0.8148
Pacific Wren,1,21,0.2381,0.5556,0.2381,0.3333,0.8095
Barrow's Goldeneye,2,60,0.2833,1.0000,0.2543,0.3741,0.9500
Greater Scaup,2,73,0.2877,0.5267,0.2593,0.3416,0.7534
Fish Crow,1,30,0.3000,0.3462,0.3000,0.3214,0.8667
Cassin's Vireo,1,36,0.3056,0.3056,0.3056,0.3056,0.8611
Northwestern Crow,1,19,0.3158,0.4286,0.3158,0.3636,0.8421
Neotropic Cormorant,1,38,0.3421,0.5417,0.3421,0.4194,0.8158
Allen's Hummingbird,2,101,0.3861,0.6586,0.3520,0.4337,0.9406
Great Cormorant,2,64,0.3906,0.5276,0.3625,0.4261,0.7969
California Gull,2,66,0.4091,0.4618,0.3917,0.4234,0.8485
Bell's Vireo,1,29,0.4138,0.8571,0.4138,0.5581,0.8276
