species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
California Gull,2,66,0.2424,0.4632,0.2420,0.3167,0.8182
Great Cormorant,2,64,0.2812,0.6477,0.2750,0.3857,0.8438
Pacific Wren,1,21,0.2857,0.8571,0.2857,0.4286,0.8571
Greater Scaup,2,73,0.3288,0.7038,0.2942,0.3901,0.7671
Fish Crow,1,30,0.3667,0.4400,0.3667,0.4000,0.9000
Bank Swallow,1,27,0.3704,0.6667,0.3704,0.4762,0.9259
Chihuahuan Raven,1,27,0.3704,0.3448,0.3704,0.3571,0.9630
Mew Gull,1,23,0.3913,0.6000,0.3913,0.4737,0.8696
Neotropic Cormorant,1,38,0.3947,0.5000,0.3947,0.4412,0.8947
Bell's Vireo,1,29,0.4138,0.6000,0.4138,0.4898,0.8621
Northwestern Crow,1,19,0.4211,0.6154,0.4211,0.5000,0.8947
Cassin's Vireo,1,36,0.4444,0.4211,0.4444,0.4324,0.8889
Allen's Hummingbird,2,101,0.4455,0.7346,0.4136,0.5034,0.9505
Barrow's Goldeneye,2,60,0.4500,1.0000,0.4200,0.5685,0.9500
Tundra Swan,1,28,0.4643,0.6500,0.4643,0.5417,1.0000
Mourning Warbler,1,52,0.4808,0.8929,0.4808,0.6250,0.8462
Costa's Hummingbird,2,58,0.5172,0.4607,0.4363,0.4482,0.9138
Plumbeous Vireo,1,41,0.5366,0.6471,0.5366,0.5867,0.8780
Brandt's Cormorant,1,33,0.5455,0.9000,0.5455,0.6792,0.9394
Semipalmated Sandpiper,1,60,0.5500,0.8049,0.5500,0.6535,1.0000
Western Gull,2,59,0.5593,0.5054,0.5082,0.5035,0.8644
Juniper Titmouse,1,25,0.5600,0.7368,0.5600,0.6364,0.9600
Common Raven,1,57,0.5614,0.5079,0.5614,0.5333,0.9474
Western Wood-Pewee,1,49,0.5714,0.6222,0.5714,0.5957,0.9184
Red-naped Sapsucker,1,54,0.5741,0.6596,0.5741,0.6139,1.0000
Black-chinned Hummingbird,2,109,0.5780,0.5634,0.5964,0.5779,0.8532
Great-tailed Grackle,1,60,0.5833,0.6034,0.5833,0.5932,0.9500
Western Screech-Owl,1,34,0.5882,0.6061,0.5882,0.5970,0.9706
Broad-tailed Hummingbird,2,73,0.5890,0.6539,0.5533,0.5967,0.9041
Broad-winged Hawk,2,55,0.6000,0.7663,0.5988,0.6722,0.9091
Black-capped Chickadee,1,60,0.6000,0.8000,0.6000,0.6857,0.9667
Swainson's Hawk,3,93,0.6022,0.6041,0.5810,0.5848,0.9032
Chimney Swift,1,33,0.6061,0.8000,0.6061,0.6897,1.0000
Least Flycatcher,1,60,0.6167,0.6379,0.6167,0.6271,0.9500
Boreal Chickadee,1,42,0.6190,0.9630,0.6190,0.7536,0.9524
Sharp-shinned Hawk,2,116,0.6207,0.6127,0.6207,0.6142,0.9741
American Crow,1,57,0.6316,0.4932,0.6316,0.5538,1.0000
Eastern Wood-Pewee,1,49,0.6327,0.6458,0.6327,0.6392,0.9388
Boat-tailed Grackle,1,60,0.6333,0.5429,0.6333,0.5846,0.9500
Cackling Goose,1,14,0.6429,0.9000,0.6429,0.7500,1.0000
Vaux's Swift,1,28,0.6429,0.5806,0.6429,0.6102,1.0000
Greater Yellowlegs,1,59,0.6441,0.7308,0.6441,0.6847,0.9661
Pacific-slope Flycatcher,1,59,0.6441,0.8085,0.6441,0.7170,0.9322
Brown-capped Rosy-Finch,1,34,0.6471,0.7586,0.6471,0.6984,0.9706
Peregrine Falcon,2,77,0.6494,0.6201,0.6013,0.5856,0.9610
Glaucous-winged Gull,2,60,0.6500,0.6896,0.6089,0.6467,0.9833
Hoary Redpoll,1,29,0.6552,0.8261,0.6552,0.7308,0.9655
Black Guillemot,2,32,0.6562,0.6333,0.6750,0.6491,0.9062
Glossy Ibis,1,44,0.6591,0.8788,0.6591,0.7532,0.9773
Mississippi Kite,1,50,0.6600,0.7333,0.6600,0.6947,0.9600
Calliope Hummingbird,2,89,0.6629,0.6444,0.6786,0.6602,0.9438
Hutton's Vireo,1,39,0.6667,0.7429,0.6667,0.7027,0.9744
Cliff Swallow,1,30,0.6667,0.6061,0.6667,0.6349,0.8333
Black-crested Titmouse,1,33,0.6667,0.9167,0.6667,0.7719,1.0000
